expiry,type,boughtAt,soldAt,pl
2018-01-04,ce,0.05,50.0,49.95
2018-01-04,pe,0.05,31.8,31.75
2018-01-11,ce,0.05,34.8,34.75
2018-01-11,pe,0.1,42.55,42.449999999999996
2018-01-18,ce,0.05,34.8,34.75
2018-01-18,pe,0.05,35.95,35.900000000000006
2018-02-01,ce,0.05,45.0,44.95
2018-02-01,pe,0.1,45.0,44.9
2018-02-22,ce,0.1,40.6,40.5
2018-02-22,pe,0.15,35.2,35.050000000000004
2018-03-01,ce,0.05,35.0,34.95
2018-03-08,ce,0.05,44.95,44.900000000000006
2018-03-08,pe,0.85,43.0,42.15
2018-03-15,ce,0.1,39.9,39.8
2018-03-15,pe,0.05,38.7,38.650000000000006
2018-03-28,pe,0.1,48.8,48.699999999999996
2018-04-12,ce,0.05,33.0,32.95
2018-04-12,pe,0.05,31.55,31.5
2018-04-19,ce,0.05,38.0,37.95
2018-04-19,pe,0.1,50.0,49.9
2018-05-10,ce,0.05,38.0,37.95
2018-05-10,pe,0.05,42.6,42.550000000000004
2018-05-24,ce,0.05,38.4,38.35
2018-05-24,pe,0.05,33.1,33.050000000000004
2018-05-31,pe,0.3,35.0,34.7
2018-06-07,ce,0.05,39.95,39.900000000000006
2018-06-07,pe,0.05,30.0,29.95
2018-06-14,ce,0.05,44.9,44.85
2018-06-14,pe,0.05,39.7,39.650000000000006
2018-06-28,ce,0.15,33.4,33.25
2018-06-28,pe,0.85,49.95,49.1
2018-07-05,ce,0.1,35.4,35.3
2018-07-05,pe,0.05,42.75,42.7
2018-08-02,ce,0.05,34.65,34.6
2018-08-09,pe,0.1,47.55,47.449999999999996
2018-08-16,ce,0.05,30.45,30.4
2018-08-16,pe,0.1,35.6,35.5
2018-08-23,ce,0.05,32.3,32.25
2018-08-23,pe,2.15,44.85,42.7
2018-08-30,ce,0.15,40.0,39.85
2018-08-30,pe,10.7,48.75,38.05
2018-09-19,ce,0.1,40.0,39.9
2018-10-11,ce,0.1,41.7,41.6
2018-11-01,ce,13.2,49.9,36.7
2018-11-01,pe,0.05,42.0,41.95
2018-11-22,ce,0.05,42.9,42.85
2018-11-22,pe,0.1,42.05,41.949999999999996
2018-11-29,pe,0.1,38.95,38.85
2018-12-06,ce,0.05,39.0,38.95
2018-12-13,ce,0.1,50.0,49.9
2018-12-13,pe,0.05,44.85,44.800000000000004
2018-12-20,ce,0.05,48.25,48.2
2018-12-20,pe,0.05,49.85,49.800000000000004
